Group,DISTRICT,DistName,cntyname,RegnName,REGION,Math,Reading,Writing,Total,Above_Crit_Rate,Exnees_Mskd,Crit_Mskd,Part_Rate,Grads_Mskd
All Students,49906,Era ISD,Cooke County,Fort Worth,11,488,485,469,973,,14,<5,42.4,33
All Students,49907,Lindsay ISD,Cooke County,Fort Worth,11,547,517,489,1064,40.6,32,13,80,40
All Students,50901,Evant ISD,Coryell County,Waco,12,,,,,,<5,<5,,26
All Students,50902,Gatesville ISD,Coryell County,Waco,12,494,485,457,978,25,24,6,17.3,139
All Students,50904,Oglesby ISD,Coryell County,Waco,12,,,,,,<5,<5,,12
All Students,50910,Copperas Cove ISD,Coryell County,Waco,12,491,477,457,968,19,258,49,58.9,438
All Students,52901,Crane ISD,Crane County,Midland,18,,,,,,<5,<5,,59
All Students,53001,Crockett County Consolidated CSD,Crockett County,San Angelo,15,,,,,,<5,<5,,47
All Students,54901,Crosbyton CISD,Crosby County,Lubbock,17,517,503,443,1020,,<5,<5,,24
All Students,54902,Lorenzo ISD,Crosby County,Lubbock,17,467,447,440,913,,<5,<5,,18
All Students,54903,Ralls ISD,Crosby County,Lubbock,17,518,420,432,938,,<10,<5,,38
All Students,55901,Culberson County-Allamoore ISD,Culberson County,Midland,18,416,400,383,816,,12,<5,35.3,34
All Students,56901,Dalhart ISD,Dallam County,Amarillo,16,494,445,438,939,,8,<5,8.2,98
All Students,57802,Pegasus School Of Liberal Arts And,Dallas County,Richardson,10,476,411,411,887,,18,<5,105.9,17
All Students,57803,North Hills Preparatory School,Dallas County,Richardson,10,603,575,573,1178,,92,<65,105.7,87
All Students,57804,Dallas Can Academy Charter,Dallas County,Richardson,10,402,372,368,774,,31,<5,5.1,602
All Students,57806,Advantage Academy,Dallas County,Richardson,10,460,424,406,884,,9,<5,24.3,37
All Students,57807,Life School,Dallas County,Richardson,10,448,428,429,876,,54,<5,78.3,69
All Students,57808,Universal Academy,Dallas County,Richardson,10,462,396,410,858,,12,<5,100,12
All Students,57815,Faith Family Academy Of Oak Cliff,Dallas County,Richardson,10,406,359,375,765,,16,<5,61.5,26
All Students,57825,Honors Academy,Dallas County,Richardson,10,394,344,368,738,,5,<5,4.2,118
All Students,57828,Winfree Academy Charter Schools,Dallas County,Richardson,10,488,481,462,969,23.3,30,7,7.4,403
All Students,57829,A+ Academy,Dallas County,Richardson,10,424,381,373,805,,45,<5,93.8,48
All Students,57831,Gateway Charter Academy,Dallas County,Richardson,10,368,352,343,719,,24,<5,88.9,27
All Students,57832,Alpha Charter School,Dallas County,Richardson,10,,,,,,<5,<5,,32
All Students,57834,Evolution Academy Charter School,Dallas County,Richardson,10,404,374,357,777,,20,<5,12.2,164
All Students,57838,Peak Preparatory School,Dallas County,Richardson,10,473,403,432,876,,42,<5,144.8,29
All Students,57840,Richland Collegiate H S Of Math Sc,Dallas County,Richardson,10,558,536,527,1094,50.6,172,87,111,155
All Students,57842,Williams Preparatory,Dallas County,Richardson,10,494,417,446,910,,42,<5,113.5,37
All Students,57843,Hampton Preparatory,Dallas County,Richardson,10,425,408,400,832,,20,<5,181.8,11
All Students,57903,Carrollton-Farmers Branch ISD,Dallas County,Richardson,10,513,485,478,998,27.9,916,256,63.3,"1,446"
All Students,57904,Cedar Hill ISD,Dallas County,Richardson,10,440,433,419,872,8.1,272,22,55.4,491
All Students,57905,Dallas ISD,Dallas County,Richardson,10,446,417,410,863,9.9,"4,352",432,66,"6,596"
All Students,57906,Desoto ISD,Dallas County,Richardson,10,432,423,414,855,7.1,350,25,74.2,472
All Students,57907,Duncanville ISD,Dallas County,Richardson,10,470,465,438,935,15.4,299,46,45.6,656
All Students,57909,Garland ISD,Dallas County,Richardson,10,497,476,461,973,23.4,"1,808",423,52.6,"3,435"
All Students,57910,Grand Prairie ISD,Dallas County,Richardson,10,485,460,445,945,17.8,567,101,39,"1,455"
All Students,57911,Highland Park ISD,Dallas County,Richardson,10,622,593,571,1215,74.1,451,334,94.4,478
All Students,57912,Irving ISD,Dallas County,Richardson,10,435,412,415,847,8.8,"1,415",125,78.4,"1,805"
All Students,57913,Lancaster ISD,Dallas County,Richardson,10,402,400,393,802,,168,<5,58.1,289
All Students,57914,Mesquite ISD,Dallas County,Richardson,10,474,456,443,930,15.4,"1,240",191,57.7,"2,148"
All Students,57916,Richardson ISD,Dallas County,Richardson,10,536,501,483,1037,37.4,"1,365",510,73.7,"1,852"
All Students,57919,Sunnyvale ISD,Dallas County,Richardson,10,530,510,490,1040,33.3,57,19,86.4,66
All Students,57922,Coppell ISD,Dallas County,Richardson,10,593,546,540,1140,60.5,625,378,87.9,711
All Students,58902,Dawson ISD,Dawson County,Lubbock,17,516,451,459,967,,7,<5,58.3,12
All Students,58906,Lamesa ISD,Dawson County,Lubbock,17,500,467,446,967,,7,<5,9.2,76
All Students,59901,Hereford ISD,Deaf Smith County,Amarillo,16,485,455,406,941,,13,<5,6,218
All Students,60902,Cooper ISD,Delta County,Mt Pleasant,8,522,532,472,1054,,<10,<5,,51
All Students,61501,University Of North Texas,Denton County,Fort Worth,11,726,681,668,1406,,188,<190,,<5
All Students,61802,Education Center,Denton County,Fort Worth,11,473,505,470,978,,8,<5,18.6,43
All Students,61901,Denton ISD,Denton County,Fort Worth,11,505,495,472,1000,27,660,178,57.5,"1,147"
All Students,61902,Lewisville ISD,Denton County,Fort Worth,11,554,525,516,1079,42.6,"2,294",978,70.3,"3,262"
All Students,61903,Pilot Point ISD,Denton County,Fort Worth,11,492,478,445,970,21.6,37,8,44,84
All Students,61905,Krum ISD,Denton County,Fort Worth,11,492,487,458,978,26.1,46,12,55.4,83
All Students,61906,Ponder ISD,Denton County,Fort Worth,11,545,508,468,1053,41.9,31,13,51.7,60
All Students,61907,Aubrey ISD,Denton County,Fort Worth,11,531,501,490,1032,30.3,66,20,64.7,102
All Students,61908,Sanger ISD,Denton County,Fort Worth,11,491,473,462,965,12.9,62,8,41.9,148
All Students,61910,Argyle ISD,Denton County,Fort Worth,11,567,530,509,1097,48,123,59,83.7,147
All Students,61911,Northwest ISD,Denton County,Fort Worth,11,509,490,475,1000,28.7,506,145,71.5,708
All Students,61912,Lake Dallas ISD,Denton County,Fort Worth,11,509,485,465,994,24.3,148,36,63,235
All Students,61914,Little Elm ISD,Denton County,Fort Worth,11,488,475,458,963,17.4,178,31,62.9,283
All Students,62901,Cuero ISD,Dewitt County,Victoria,3,515,473,482,988,30,20,6,16.9,118
All Students,62902,Nordheim ISD,Dewitt County,Victoria,3,,,,,,<5,<5,,7
All Students,62903,Yoakum ISD,Dewitt County,Victoria,3,511,501,470,1012,27.3,22,6,25,88
All Students,62904,Yorktown ISD,Dewitt County,Victoria,3,504,473,475,977,,21,<5,61.8,34
All Students,63903,Spur ISD,Dickens County,Lubbock,17,445,426,424,871,,12,<5,50,24
All Students,64903,Carrizo Springs CISD,Dimmit County,San Antonio,20,441,417,404,858,,65,<5,54.2,120
All Students,65901,Clarendon ISD,Donley County,Amarillo,16,597,580,617,1177,,<5,<5,,34
All Students,66903,Freer ISD,Duval County,Corpus Christi,2,,,,,,<5,<5,,49
All Students,67902,Cisco ISD,Eastland County,Abilene,14,519,491,468,1010,,16,<5,27.1,59
All Students,67903,Eastland ISD,Eastland County,Abilene,14,457,447,423,904,,28,<5,63.6,44
All Students,67904,Gorman ISD,Eastland County,Abilene,14,534,484,480,1018,,5,<5,31.3,16
All Students,67907,Ranger ISD,Eastland County,Abilene,14,460,443,426,903,,9,<5,40.9,22
All Students,67908,Rising Star ISD,Eastland County,Abilene,14,,,,,,<5,<5,,17
All Students,68801,Richard Milburn Academy (Ector Cou,Ector County,Midland,18,,,,,,<5,<5,,169
