Group,District,DistName,County,CntyName,Region,RegnName,ERW,Math,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,037908,New Summerfield ISD,037,Cherokee County,07,Kilgore,,,,<50,<25,2.9,<25,100
All Students,037909,Wells ISD,037,Cherokee County,07,Kilgore,480,500,980,<25,<25,66.7,<25,16.7
All Students,039902,Henrietta ISD,039,Clay County,09,Wichita Falls,531,506,1038,50,31,62.0,6,19.4
All Students,039903,Petrolia CISD,039,Clay County,09,Wichita Falls,523,478,1002,<50,<25,31.7,<25,7.7
All Students,039904,Bellevue ISD,039,Clay County,09,Wichita Falls,595,605,1200,<25,<25,30.8,<25,50.0
All Students,039905,Midway ISD,039,Clay County,09,Wichita Falls,600,585,1185,<25,<25,33.3,<25,50.0
All Students,040902,Whiteface CISD,040,Cochran County,17,Lubbock,531,551,1082,<50,<25,31.0,<25,33.3
All Students,041901,Bronte ISD,041,Coke County,15,San Angelo,555,525,1080,<50,<25,14.3,<25,
All Students,041902,Robert Lee ISD,041,Coke County,15,San Angelo,555,547,1102,<25,<25,25.0,<25,33.3
All Students,042901,Coleman ISD,042,Coleman County,15,San Angelo,570,513,1080,<75,<25,5.5,<25,33.3
All Students,042903,Santa Anna ISD,042,Coleman County,15,San Angelo,464,491,953,<25,<25,57.9,<25,
All Students,043801,Imagine International Academy Of N,043,Collin County,10,Richardson,646,624,1271,35,36,100,25,69.4
All Students,043901,Allen ISD,043,Collin County,10,Richardson,564,565,1130,<1550,<1450,93.7,<625,42.4
All Students,043902,Anna ISD,043,Collin County,10,Richardson,532,514,1046,154,94,61.0,16,17.0
All Students,043903,Celina ISD,043,Collin County,10,Richardson,582,587,1170,163,35,21.5,17,48.6
All Students,043904,Farmersville ISD,043,Collin County,10,Richardson,542,528,1069,<100,<25,22.1,<25,21.1
All Students,043905,Frisco ISD,043,Collin County,10,Richardson,590,589,1178,3452,2318,67.1,1163,50.2
All Students,043907,McKinney ISD,043,Collin County,10,Richardson,572,568,1139,1758,1116,63.5,446,40.0
All Students,043908,Melissa ISD,043,Collin County,10,Richardson,530,510,1039,154,57,37.0,10,17.5
All Students,043910,Plano ISD,043,Collin County,10,Richardson,602,615,1216,3967,2737,69.0,1592,58.2
All Students,043911,Princeton ISD,043,Collin County,10,Richardson,524,507,1032,257,99,38.5,19,19.2
All Students,043912,Prosper ISD,043,Collin County,10,Richardson,575,570,1145,512,254,49.6,111,43.7
All Students,043914,Wylie ISD,043,Collin County,10,Richardson,550,553,1103,993,570,57.4,185,32.5
All Students,043917,Blue Ridge ISD,043,Collin County,10,Richardson,501,499,1001,<50,<25,40.0,<25,18.8
All Students,043918,Community ISD,043,Collin County,10,Richardson,527,511,1038,142,52,36.6,6,11.5
All Students,043919,Lovejoy ISD,043,Collin County,10,Richardson,602,604,1206,323,230,71.2,127,55.2
All Students,045902,Columbus ISD,045,Colorado County,03,Victoria,516,519,1034,122,53,43.4,12,22.6
All Students,045903,Rice CISD,045,Colorado County,03,Victoria,480,493,967,<100,<25,3.3,<25,
All Students,045905,Weimar ISD,045,Colorado County,03,Victoria,561,535,1096,49,21,42.9,6,28.6
All Students,046901,New Braunfels ISD,046,Comal County,13,Austin,555,539,1094,582,338,58.1,88,26.0
All Students,046902,Comal ISD,046,Comal County,20,San Antonio,536,526,1062,1490,1256,84.3,339,27.0
All Students,047901,Comanche ISD,047,Comanche County,14,Abilene,501,496,997,<100,<50,32.6,<25,10.0
All Students,047902,De Leon ISD,047,Comanche County,14,Abilene,534,504,1038,<50,<25,12.2,<25,
All Students,047903,Gustine ISD,047,Comanche County,14,Abilene,517,503,1020,<25,<25,70.0,<25,
All Students,047905,Sidney ISD,047,Comanche County,14,Abilene,520,480,1000,<25,<25,75.0,<25,
All Students,048901,Eden CISD,048,Concho County,15,San Angelo,520,550,1070,<25,<25,15.4,<25,
All Students,049901,Gainesville ISD,049,Cooke County,11,Fort Worth,523,510,1034,175,28,16.0,6,21.4
All Students,049902,Muenster ISD,049,Cooke County,11,Fort Worth,553,566,1119,<50,<25,34.6,<25,33.3
All Students,049903,Valley View ISD,049,Cooke County,11,Fort Worth,563,533,1096,<50,<25,38.3,<25,38.9
All Students,049905,Callisburg ISD,049,Cooke County,11,Fort Worth,536,554,1090,<100,<25,11.8,<25,33.3
All Students,049906,Era ISD,049,Cooke County,11,Fort Worth,560,497,1057,<50,<25,17.1,<25,33.3
All Students,049907,Lindsay ISD,049,Cooke County,11,Fort Worth,601,587,1188,34,17,50.0,9,52.9
All Students,050901,Evant ISD,050,Coryell County,12,Waco,615,580,1195,<25,<25,15.4,<25,50.0
All Students,050902,Gatesville ISD,050,Coryell County,12,Waco,565,545,1110,<175,<25,6.4,<25,27.3
All Students,050904,Oglesby ISD,050,Coryell County,12,Waco,585,500,1085,<25,<25,18.2,<25,
All Students,050909,Jonesboro ISD,050,Coryell County,12,Waco,492,502,988,<25,<25,27.8,<25,
All Students,050910,Copperas Cove ISD,050,Coryell County,12,Waco,528,508,1035,563,283,50.3,51,18.0
All Students,052901,Crane ISD,052,Crane County,18,Midland,510,510,1020,<100,<25,2.6,<25,
All Students,053001,Crockett County Consolidated CSD,053,Crockett County,15,San Angelo,590,527,1117,<75,<25,5.2,<25,33.3
All Students,054901,Crosbyton CISD,054,Crosby County,17,Lubbock,552,532,1084,<25,<25,22.7,<25,40.0
All Students,054903,Ralls ISD,054,Crosby County,17,Lubbock,537,526,1063,<50,<25,17.9,<25,14.3
All Students,056901,Dalhart ISD,056,Dallam County,16,Amarillo,610,567,1177,<125,<25,2.6,<25,66.7
All Students,057802,Pegasus School Of Liberal Arts And,057,Dallas County,10,Richardson,473,474,947,<50,<25,64.3,<25,
All Students,057803,Uplift Education,057,Dallas County,10,Richardson,549,528,1077,517,349,67.5,100,28.7
All Students,057804,Texans Can Academies,057,Dallas County,10,Richardson,417,417,834,<2250,<75,3.1,<25,1.4
All Students,057806,Advantage Academy,057,Dallas County,10,Richardson,467,469,936,<50,<25,66.7,<25,11.1
All Students,057807,Life School,057,Dallas County,10,Richardson,490,469,958,250,161,64.4,8,5.0
All Students,057808,Universal Academy,057,Dallas County,10,Richardson,488,466,954,<25,<25,70.6,<25,
All Students,057817,Focus Learning Academy,057,Dallas County,10,Richardson,441,426,867,<25,<25,,<25,
All Students,057828,Winfree Academy Charter Schools,057,Dallas County,10,Richardson,510,482,992,<325,<50,12.5,<25,12.8
All Students,057829,A+ Academy,057,Dallas County,10,Richardson,441,452,892,<75,<75,90.1,<25,
All Students,057830,Inspired Vision Academy,057,Dallas County,10,Richardson,457,453,910,<100,<50,48.4,<25,
All Students,057831,Gateway Charter Academy,057,Dallas County,10,Richardson,429,428,858,<25,<25,54.2,<25,
