Group,District,DistName,County,CntyName,Region,RegnName,Students_Mskd,Exnees_Mskd,Part_Rate,Exnees_Crit_Mskd,Exnees_Above_Crit_Rate,Exams_Mskd,Exams_Crit_Mskd,Exams_Above_Crit_Rate
All Students,070801,Waxahachie Faith Family Academy,070,Ellis County,10,Richardson,<200,<50,12.6,<25,4.0,<50,<25,4.0
All Students,070903,Ennis ISD,070,Ellis County,10,Richardson,751,139,18.5,54,38.8,307,106,34.5
All Students,070905,Ferris ISD,070,Ellis County,10,Richardson,307,45,14.7,13,28.9,57,13,22.8
All Students,070908,Midlothian ISD,070,Ellis County,10,Richardson,1080,270,25.0,159,58.9,577,322,55.8
All Students,070911,Red Oak ISD,070,Ellis County,10,Richardson,917,124,13.5,79,63.7,260,147,56.5
All Students,070912,Waxahachie ISD,070,Ellis County,10,Richardson,1184,106,9.0,67,63.2,234,120,51.3
All Students,071801,Burnham Wood Charter School Distri,071,El Paso County,19,El Paso,50,19,38.0,10,52.6,<50,<25,27.5
All Students,071806,Harmony Science Acad (El Paso),071,El Paso County,19,El Paso,192,77,40.1,49,63.6,163,84,51.5
All Students,071901,Clint ISD,071,El Paso County,19,El Paso,1579,316,20.0,123,38.9,412,137,33.3
All Students,071902,El Paso ISD,071,El Paso County,19,El Paso,<8675,<1800,20.6,<850,47.0,3531,1428,40.4
All Students,071903,Fabens ISD,071,El Paso County,19,El Paso,323,54,16.7,18,33.3,85,22,25.9
All Students,071904,San Elizario ISD,071,El Paso County,19,El Paso,457,219,47.9,32,14.6,335,35,10.4
All Students,071905,Ysleta ISD,071,El Paso County,19,El Paso,5872,1811,30.8,442,24.4,3014,610,20.2
All Students,071906,Anthony ISD,071,El Paso County,19,El Paso,<100,<25,9.6,<25,,<25,<25,
All Students,071907,Canutillo ISD,071,El Paso County,19,El Paso,923,138,15.0,44,31.9,232,67,28.9
All Students,071908,Tornillo ISD,071,El Paso County,19,El Paso,<200,<75,28.8,<75,94.3,53,50,94.3
All Students,071909,Socorro ISD,071,El Paso County,19,El Paso,6724,1070,15.9,300,28.0,1816,403,22.2
All Students,072801,Premier High Schools,072,Erath County,11,Fort Worth,3023,24,0.8,14,58.3,45,25,55.6
All Students,072902,Dublin ISD,072,Erath County,11,Fort Worth,137,5,3.6,5,100,5,5,100
All Students,072903,Stephenville ISD,072,Erath County,11,Fort Worth,472,58,12.3,39,67.2,82,50,61.0
All Students,073905,Rosebud-Lott ISD,073,Falls County,12,Waco,<100,<25,1.0,<25,,<25,<25,
All Students,074903,Bonham ISD,074,Fannin County,10,Richardson,237,28,11.8,8,28.6,48,9,18.8
All Students,074904,Dodd City ISD,074,Fannin County,10,Richardson,<50,<25,2.2,<25,,<25,<25,
All Students,074907,Honey Grove ISD,074,Fannin County,10,Richardson,90,20,22.2,11,55.0,25,12,48.0
All Students,074909,Leonard ISD,074,Fannin County,10,Richardson,<125,<25,0.8,<25,100,<25,<25,50.0
All Students,075901,Flatonia ISD,075,Fayette County,13,Austin,<100,<25,21.1,<25,21.1,<25,<25,21.1
All Students,075902,La Grange ISD,075,Fayette County,13,Austin,285,63,22.1,32,50.8,121,58,47.9
All Students,075908,Round Top-Carmine ISD,075,Fayette County,13,Austin,<50,<25,16.7,<25,,<25,<25,
