Group,District,DistName,cntyname,RegnName,REGION,Exnees_Above_Crit_Rate,Part_Rate,Students_Mskd,Exnees_Mskd,Exnees_Crit_Mskd,Exams_Mskd,Exams_Crit_Mskd,Exams_Above_Crit_Rate
All students,178904,Corpus Christi ISD,Nueces County,Corpus Christi,02,42.3,12.3,4750,584,247,1079,412,38.2
All students,178908,Port Aransas ISD,Nueces County,Corpus Christi,02,56.3,17.8,90,16,9,<30,13,
All students,178909,Robstown ISD,Nueces County,Corpus Christi,02,,16.2,345,56,<5,78,<5,
All students,178912,Tuloso-Midway ISD,Nueces County,Corpus Christi,02,54.2,9.3,518,48,26,66,31,47
All students,178913,Banquete ISD,Nueces County,Corpus Christi,02,,22.5,111,25,<5,39,<5,
All students,178914,Flour Bluff ISD,Nueces County,Corpus Christi,02,58.2,24.2,782,189,110,349,176,50.4
All students,178915,West Oso ISD,Nueces County,Corpus Christi,02,12.2,15.8,259,41,5,56,5,8.9
All students,179901,Perryton ISD,Ochiltree County,Amarillo,16,46.9,11.5,278,32,15,50,18,36
All students,180901,Boys Ranch ISD,Oldham County,Amarillo,16,,,97,<5,<5,<5,<5,
All students,181901,Bridge City ISD,Orange County,Beaumont,05,,,335,<5,<5,6,<5,
All students,181905,Orangefield ISD,Orange County,Beaumont,05,62.5,10.9,220,24,15,24,15,62.5
All students,181906,West Orange-Cove CISD,Orange County,Beaumont,05,,8.5,331,28,<5,35,<5,
All students,181907,Vidor ISD,Orange County,Beaumont,05,,,677,<5,<5,<5,<5,
All students,181908,Little Cypress-Mauriceville CISD,Orange County,Beaumont,05,51.6,12.5,511,64,33,104,45,43.3
All students,182902,Graford ISD,Palo Pinto County,Fort Worth,11,,15.8,38,6,<5,6,<5,
All students,182903,Mineral Wells ISD,Palo Pinto County,Fort Worth,11,63.3,6.5,459,30,19,52,27,51.9
All students,183901,Beckville ISD,Panola County,Kilgore,07,,,69,<5,<5,<5,<5,
All students,183902,Carthage ISD,Panola County,Kilgore,07,33.3,12.6,333,42,14,53,15,28.3
All students,183904,Gary ISD,Panola County,Kilgore,07,,,60,<5,<5,<5,<5,
All students,184902,Springtown ISD,Parker County,Fort Worth,11,,2.4,451,11,<5,14,<10,
All students,184903,Weatherford ISD,Parker County,Fort Worth,11,62.7,21.3,1019,217,136,441,218,49.4
All students,184907,Aledo ISD,Parker County,Fort Worth,11,69.3,35.6,714,254,176,533,361,67.7
All students,184908,Peaster ISD,Parker County,Fort Worth,11,56.3,10.5,152,16,9,18,11,61.1
All students,185901,Bovina ISD,Parmer County,Amarillo,16,,28.6,63,18,<5,22,<5,
All students,185903,Friona ISD,Parmer County,Amarillo,16,,16.3,160,26,<5,28,<5,
All students,186902,Fort Stockton ISD,Pecos County,Midland,18,,,296,<5,<5,<5,<5,
All students,187907,Livingston ISD,Polk County,Huntsville,06,48.3,5.4,542,29,14,50,17,34
All students,188901,Amarillo ISD,Potter County,Amarillo,16,45.5,16.9,3769,638,290,1319,517,39.2
