DistName,RegnName,SAT-Total,SAT-Part_Rate,Year
Grandview ISD,Fort Worth,1025.0,30.1,2012
Joshua ISD,Fort Worth,986.0,53.3,2012
Keene ISD,Fort Worth,876.0,54.2,2012
Rio Vista ISD,Fort Worth,940.0,53.8,2012
Venus ISD,Fort Worth,955.0,12.6,2012
Godley ISD,Fort Worth,979.0,54.8,2012
Crandall ISD,Richardson,1002.0,42.4,2012
Forney ISD,Richardson,950.0,61.5,2012
Kaufman ISD,Richardson,938.0,45.2,2012
Kemp ISD,Richardson,931.0,41.4,2012
Mabank ISD,Richardson,952.0,34.0,2012
Terrell ISD,Richardson,922.0,33.2,2012
Scurry-Rosser ISD,Richardson,994.0,44.1,2012
Boerne ISD,San Antonio,1084.0,72.6,2012
Comfort ISD,Austin,975.0,65.1,2012
Center Point ISD,San Antonio,908.0,60.0,2012
Kerrville ISD,San Antonio,1022.0,55.4,2012
Ingram ISD,San Antonio,977.0,64.3,2012
Brackett ISD,San Antonio,894.0,53.1,2012
Cotulla ISD,San Antonio,875.0,33.3,2012
Giddings ISD,Austin,928.0,772.7,2012
Lexington ISD,Austin,932.0,56.1,2012
Dime Box ISD,Austin,808.0,71.4,2012
Cleveland ISD,Houston,863.0,45.6,2012
Dayton ISD,Houston,927.0,37.9,2012
Hardin ISD,Houston,899.0,75.0,2012
Hull-Daisetta ISD,Houston,909.0,51.7,2012
Liberty ISD,Houston,970.0,66.1,2012
Tarkington ISD,Houston,1023.0,30.4,2012
Llano ISD,Austin,993.0,74.3,2012
Eagle Pass ISD,San Antonio,853.0,60.7,2012
Devine ISD,San Antonio,922.0,42.5,2012
Natalia ISD,San Antonio,850.0,60.8,2012
Hondo ISD,San Antonio,1066.0,11.0,2012
Medina Valley ISD,San Antonio,1009.0,12.4,2012
Thorndale ISD,Austin,905.0,52.3,2012
Graford ISD,Fort Worth,860.0,31.8,2012
Mineral Wells ISD,Fort Worth,953.0,39.1,2012
Santo ISD,Fort Worth,956.0,58.6,2012
Poolville ISD,Fort Worth,949.0,30.3,2012
Springtown ISD,Fort Worth,952.0,43.6,2012
Weatherford ISD,Fort Worth,1012.0,47.2,2012
Millsap ISD,Fort Worth,986.0,41.2,2012
Aledo ISD,Fort Worth,1093.0,69.7,2012
Peaster ISD,Fort Worth,1052.0,48.0,2012
Brock ISD,Fort Worth,1019.0,39.7,2012
Leakey ISD,San Antonio,,,2012
Rockwall ISD,Richardson,1063.0,65.5,2012
Royse City ISD,Richardson,953.0,49.4,2012
Glen Rose ISD,Fort Worth,948.0,57.9,2012
Arlington ISD,Fort Worth,984.0,60.8,2012
Birdville ISD,Fort Worth,993.0,47.8,2012
Everman ISD,Fort Worth,854.0,53.2,2012
Fort Worth ISD,Fort Worth,897.0,56.4,2012
Grapevine-Colleyville ISD,Fort Worth,1096.0,76.8,2012
Keller ISD,Fort Worth,1050.0,64.0,2012
Mansfield ISD,Fort Worth,975.0,68.4,2012
Lake Worth ISD,Fort Worth,858.0,58.5,2012
Crowley ISD,Fort Worth,928.0,66.2,2012
Kennedale ISD,Fort Worth,966.0,67.3,2012
Azle ISD,Fort Worth,964.0,50.0,2012
Hurst-Euless-Bedford ISD,Fort Worth,1011.0,57.0,2012
Castleberry ISD,Fort Worth,943.0,44.5,2012
Eagle Mt-Saginaw ISD,Fort Worth,993.0,52.5,2012
Carroll ISD,Fort Worth,1165.0,84.0,2012
White Settlement ISD,Fort Worth,929.0,45.7,2012
Austin ISD,Austin,1020.0,65.1,2012
Pflugerville ISD,Austin,974.0,68.5,2012
Manor ISD,Austin,854.0,66.5,2012
Eanes ISD,Austin,1193.0,92.1,2012
Del Valle ISD,Austin,868.0,29.5,2012
Lago Vista ISD,Austin,1025.0,77.6,2012
Lake Travis ISD,Austin,1122.0,79.7,2012
Knippa ISD,San Antonio,975.0,,2012
Sabinal ISD,San Antonio,890.0,69.4,2012
Utopia ISD,San Antonio,1107.0,50.0,2012
