DistName,RegnName,Year,ACT-Composite,ACT-Part_Rate,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA,Graduated 4-Year,Graduated 4-Year (%)
DICKINSON ISD,Houston,2013,20.4,10,123,238,22,1.9,81,557,15,941,37,267707,27,33
DICKINSON ISD,Houston,2014,18.7,17,221,428,27,1.9,86,544,16,928,47,268982,28,33
DRIPPING SPRINGS ISD,Austin,2011,25.5,44,234,579,70,2.5,104,288,36,1142,85,597087,54,52
DRIPPING SPRINGS ISD,Austin,2012,24.6,44,265,618,74,2.3,99,279,35,1109,86,576515,43,43
DRIPPING SPRINGS ISD,Austin,2013,25.4,48,225,498,76,2.2,97,321,30,1132,78,573734,61,63
DRIPPING SPRINGS ISD,Austin,2014,24.3,46,208,466,78,2.2,109,334,33,1098,76,549429,59,54
DUNCANVILLE ISD,Richardson,2011,19.3,42,116,235,57,2.0,150,733,20,935,46,271364,39,26
DUNCANVILLE ISD,Richardson,2012,19,32,136,301,59,2.2,123,753,16,902,40,258673,39,32
DUNCANVILLE ISD,Richardson,2013,19.6,33,120,235,59,2.0,148,797,19,925,39,254311,34,23
DUNCANVILLE ISD,Richardson,2014,18.6,26,111,187,54,1.7,159,823,19,883,46,262570,55,35
EAGLE MT-SAGINAW ISD,Fort Worth,2011,21.4,19,432,1052,42,2.4,131,893,15,993,58,408471,51,39
EAGLE MT-SAGINAW ISD,Fort Worth,2012,21.2,23,531,1141,41,2.1,177,910,19,993,53,371491,55,31
EAGLE MT-SAGINAW ISD,Fort Worth,2013,21.2,27,570,1190,40,2.1,194,999,19,987,51,360252,81,42
EAGLE MT-SAGINAW ISD,Fort Worth,2014,20.5,39,603,1219,46,2.0,182,1113,16,964,49,348061,84,46
EAGLE PASS ISD,San Antonio,2011,17.8,20,236,392,43,1.7,189,886,21,865,63,120275,53,28
EAGLE PASS ISD,San Antonio,2012,17.9,14,300,480,46,1.6,189,936,20,853,61,122595,68,36
EAGLE PASS ISD,San Antonio,2013,18.4,11,316,521,50,1.6,192,963,20,880,54,122048,76,40
EAGLE PASS ISD,San Antonio,2014,19.4,7,263,407,56,1.5,183,919,20,884,54,130623,65,36
EANES ISD,Austin,2011,27,67,802,2600,77,3.2,222,617,36,1214,98,1293693,117,53
EANES ISD,Austin,2012,26.6,72,768,2485,77,3.2,195,629,31,1193,92,1214826,98,50
EANES ISD,Austin,2013,27.1,73,782,2527,80,3.2,190,597,32,1212,88,1227376,105,55
EANES ISD,Austin,2014,27.3,75,836,2699,79,3.2,222,647,34,1221,85,1257940,137,62
EAST CENTRAL ISD,San Antonio,2011,19.8,14,150,315,29,2.1,68,604,11,909,51,207495,16,24
EAST CENTRAL ISD,San Antonio,2012,19.5,28,202,334,31,1.7,84,589,14,909,57,211273,29,35
EAST CENTRAL ISD,San Antonio,2013,19.3,28,225,434,29,1.9,93,668,14,903,53,215008,25,27
EAST CENTRAL ISD,San Antonio,2014,18.9,30,321,619,22,1.9,80,627,13,906,50,228991,40,50
EDGEWOOD ISD,San Antonio,2011,17.8,24,289,433,7,1.5,66,594,11,802,54,83223,14,21
EDGEWOOD ISD,San Antonio,2012,16.1,39,240,422,9,1.8,65,481,14,794,55,83316,17,26
EDGEWOOD ISD,San Antonio,2013,16.3,27,303,520,6,1.7,64,549,12,799,50,83962,5,8
EDGEWOOD ISD,San Antonio,2014,16.9,26,360,789,7,2.2,58,533,11,796,51,86952,11,19
ELGIN ISD,Austin,2011,19,21,45,74,54,1.6,47,212,22,941,47,238009,12,26
ELGIN ISD,Austin,2013,20,20,130,233,24,1.8,37,239,15,903,46,225322,8,22
ELGIN ISD,Austin,2014,20.1,14,159,317,21,2.0,46,249,18,951,52,222659,20,43
ENNIS ISD,Richardson,2011,20.6,47,114,214,37,1.9,61,348,18,1022,26,313461,22,36
ENNIS ISD,Richardson,2012,19.1,49,139,229,38,1.6,54,328,16,953,24,312229,19,35
ENNIS ISD,Richardson,2013,19.8,43,151,282,36,1.9,49,345,14,985,23,321287,24,49
ENNIS ISD,Richardson,2014,19.5,46,142,272,37,1.9,50,341,15,993,23,322444,24,48
EVERMAN ISD,Fort Worth,2011,17,44,126,192,6,1.5,37,216,17,853,62,239027,6,16
EVERMAN ISD,Fort Worth,2013,16.1,31,145,199,11,1.4,50,275,18,826,46,213330,9,18
EVERMAN ISD,Fort Worth,2014,16.4,19,176,277,12,1.6,44,273,16,834,59,213709,22,50
FLORESVILLE ISD,San Antonio,2011,19.6,33,114,155,14,1.4,34,267,13,924,55,258912,20,59
FLORESVILLE ISD,San Antonio,2012,20.2,40,89,126,23,1.4,59,279,21,941,59,267336,20,34
FLORESVILLE ISD,San Antonio,2013,19.8,46,108,149,26,1.4,62,321,19,931,55,272347,24,39
FLORESVILLE ISD,San Antonio,2014,19.2,56,105,148,23,1.4,52,255,20,933,64,276454,19,37
FORNEY ISD,Richardson,2011,20.5,25,149,334,35,2.2,93,453,21,980,63,292929,39,42
FORNEY ISD,Richardson,2012,20.1,26,179,336,48,1.9,93,478,19,950,62,284379,40,43
FORNEY ISD,Richardson,2013,21.8,22,182,334,52,1.8,108,546,20,972,54,280185,37,34
FORNEY ISD,Richardson,2014,20.8,25,190,352,52,1.9,99,553,18,979,53,278211,56,57
FORT BEND ISD,Houston,2011,22.5,35,2612,7116,70,2.7,1565,4836,32,1027,83,351127,577,37
FORT BEND ISD,Houston,2012,22.3,33,2607,6951,74,2.7,1579,5027,31,1021,79,351495,625,40
FORT BEND ISD,Houston,2013,22.3,30,2650,7254,72,2.7,1557,5077,31,1033,73,353175,664,43
FORT BEND ISD,Houston,2014,22.1,34,3042,7605,72,2.5,1713,5031,34,1034,75,355737,748,44
FORT WORTH ISD,Fort Worth,2011,18.1,28,2052,4734,27,2.3,547,3863,14,905,59,343130,131,24
FORT WORTH ISD,Fort Worth,2012,18.2,30,1786,3935,34,2.2,539,3642,15,897,56,322648,140,26
FORT WORTH ISD,Fort Worth,2013,18.2,29,1928,3988,31,2.1,558,3646,15,892,59,328206,178,32
FORT WORTH ISD,Fort Worth,2014,17.9,27,2362.5,5757,28,2.4,584,3740,16,832,98,335477,147,25
FREDERICKSBURG ISD,Austin,2011,21.5,41,121,252,59,2.1,62,242,26,1003,64,815998,26,42
FREDERICKSBURG ISD,Austin,2012,22,37,103,193,62,1.9,58,219,26,1025,64,817930,21,36
FREDERICKSBURG ISD,Austin,2013,22.1,37,103,223,59,2.2,70,246,28,1025,57,828348,24,34
FREDERICKSBURG ISD,Austin,2014,21.8,37,105,236,55,2.2,63,235,27,1013,60,857468,33,52
FRIENDSWOOD ISD,Houston,2011,25,48,319,825,74,2.6,154,493,31,1116,88,354657,79,51
FRIENDSWOOD ISD,Houston,2012,24.7,40,321,744,82,2.3,145,485,30,1102,78,356827,93,64
FRIENDSWOOD ISD,Houston,2013,25,44,346,874,74,2.5,155,481,32,1111,77,364220,104,67
FRIENDSWOOD ISD,Houston,2014,25,41,311,843,81,2.7,153,491,31,1113,80,369076,115,75
FRISCO ISD,Richardson,2011,23.6,46,1252,2973,70,2.4,358,1740,21,1062,69,448014,178,50
FRISCO ISD,Richardson,2012,23.6,52,1440,3356,72,2.3,451,1962,23,1075,66,409845,245,54
FRISCO ISD,Richardson,2013,23.6,50,1659,4070,72,2.5,517,2234,23,1078,64,398568,280,54
FRISCO ISD,Richardson,2014,24.1,53,1907,4665,75,2.4,603,2388,25,1092,66,389497,350,58
GALENA PARK ISD,Houston,2011,18.1,37,267,537,55,2.0,208,1414,15,893,32,289183,24,12
GALENA PARK ISD,Houston,2012,18.1,37,305,554,59,1.8,241,1497,16,875,30,277597,47,20
GALENA PARK ISD,Houston,2013,18.7,34,327,648,58,2.0,230,1532,15,890,28,270212,52,23
GALENA PARK ISD,Houston,2014,17.9,34,349,657,49,1.9,190,1541,12,890,25,308002,41,22
GALVESTON ISD,Houston,2011,19.6,16,185,400,30,2.2,69,416,17,936,52,724883,27,39
GALVESTON ISD,Houston,2012,19.4,25,215,468,34,2.2,72,392,18,902,56,785608,23,32
GALVESTON ISD,Houston,2013,20,29,200,390,35,2.0,85,459,19,963,49,817696,31,36
GALVESTON ISD,Houston,2014,20.3,22,162,291,38,1.8,57,381,15,918,48,861978,25,44
