DistName,RegnName,ACT-Composite,ACT-Part_Rate,Year,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA
CELINA ISD,Richardson,21.9,68.7,2014,77.0,107.0,46.7,1.38961039,25.0,134,18.65671642,1097.0,22.4,330842
CELINA ISD,Richardson,21.7,70.4,2015,88.0,112.0,37.5,1.2727272729999999,25.0,152,16.44736842,1153.0,9.9,329084
CELINA ISD,Richardson,22.2,69.9,2016,92.0,118.0,50.0,1.282608696,31.0,173,17.91907514,1139.0,16.8,328523
CELINA ISD,Richardson,22.7,69.9,2017,109.0,146.0,58.9,1.339449541,42.0,163,25.76687117,1170.0,21.5,363462
CHANNELVIEW ISD,Houston,17.0,11.4,2011,159.0,278.0,41.4,1.7484276730000001,53.0,491,10.79429735,983.0,42.1,286616
CHANNELVIEW ISD,Houston,17.8,19.5,2012,257.0,478.0,25.9,1.859922179,62.0,498,12.4497992,951.0,47.4,277548
CHANNELVIEW ISD,Houston,17.7,19.5,2013,288.0,616.0,21.6,2.138888889,59.0,481,12.26611227,977.0,41.8,271648
CHANNELVIEW ISD,Houston,17.3,23.0,2014,320.0,608.0,19.2,1.9,62.0,486,12.75720165,965.0,51.4,282106
CHANNELVIEW ISD,Houston,17.7,24.1,2015,276.0,539.0,23.4,1.9528985509999999,86.0,498,17.26907631,983.0,50.8,303255
CHANNELVIEW ISD,Houston,18.1,23.3,2016,325.0,681.0,22.0,2.095384615,75.0,554,13.53790614,959.0,54.0,305450
CHANNELVIEW ISD,Houston,18.6,18.9,2017,295.0,574.0,21.1,1.9457627119999998,69.0,609,11.33004926,977.0,50.6,304688
CLEAR CREEK ISD,Houston,23.5,31.2,2011,1504.0,3264.0,70.3,2.170212766,800.0,2671,29.95132909,1148.0,75.4,421864
CLEAR CREEK ISD,Houston,23.5,32.4,2012,1532.0,3264.0,70.9,2.1305483030000003,737.0,2700,27.296296299999998,1146.0,70.7,412053
CLEAR CREEK ISD,Houston,23.6,31.8,2013,1634.0,3633.0,67.4,2.223378213,746.0,2797,26.67143368,1147.0,66.5,417074
CLEAR CREEK ISD,Houston,24.1,36.4,2014,1695.0,3831.0,72.3,2.260176991,875.0,2748,31.84133916,1149.0,68.3,417580
CLEAR CREEK ISD,Houston,23.5,36.6,2015,1665.0,3753.0,69.1,2.254054054,887.0,2981,29.75511573,1146.0,67.6,427252
CLEAR CREEK ISD,Houston,23.4,38.5,2016,1815.0,4188.0,66.0,2.307438017,823.0,2914,28.242965,1140.0,63.0,443525
CLEAR CREEK ISD,Houston,23.7,34.7,2017,1767.0,4435.0,66.1,2.509903792,947.0,3018,31.37839629,1138.0,65.0,476015
CLEBURNE ISD,Fort Worth,22.2,17.7,2011,94.0,120.0,35.8,1.276595745,55.0,389,14.13881748,1063.0,41.4,529519
CLEBURNE ISD,Fort Worth,22.3,13.9,2012,113.0,166.0,31.9,1.469026549,76.0,418,18.18181818,1050.0,44.3,474731
CLEBURNE ISD,Fort Worth,21.0,14.8,2013,99.0,193.0,35.8,1.949494949,62.0,405,15.30864198,1025.0,44.4,472298
CLEBURNE ISD,Fort Worth,21.7,14.5,2014,165.0,340.0,34.1,2.060606061,71.0,394,18.02030457,1037.0,48.2,459469
CLEBURNE ISD,Fort Worth,20.5,17.7,2015,165.0,367.0,37.1,2.2242424240000003,52.0,361,14.40443213,1024.0,44.9,435558
CLEBURNE ISD,Fort Worth,19.6,11.0,2016,169.0,351.0,34.2,2.076923077,63.0,437,14.41647597,1011.0,40.0,405497
CLEBURNE ISD,Fort Worth,20.2,11.9,2017,175.0,351.0,35.3,2.005714286,47.0,396,11.86868687,1009.0,43.4,412297
COMAL ISD,Austin,22.1,29.4,2011,583.0,1235.0,47.1,2.118353345,336.0,1159,28.99050906,1068.0,77.4,632631
COMAL ISD,Austin,22.0,30.4,2012,662.0,1399.0,41.9,2.113293051,295.0,1116,26.43369176,1073.0,66.8,601831
COMAL ISD,Austin,22.3,34.2,2013,696.0,1603.0,44.6,2.30316092,323.0,1232,26.21753247,1086.0,65.3,569987
COMAL ISD,Austin,22.2,28.1,2014,867.0,1965.0,43.6,2.266435986,379.0,1263,30.00791766,1082.0,63.9,565606
COMAL ISD,Austin,22.4,28.7,2015,891.0,2111.0,41.1,2.369248036,369.0,1380,26.73913043,1079.0,64.6,576218
COMAL ISD,Austin,22.1,28.4,2016,905.0,2091.0,49.0,2.310497238,369.0,1406,26.24466572,1077.0,63.4,607061
COMAL ISD,San Antonio,22.6,35.6,2017,946.0,2035.0,51.9,2.151162791,372.0,1490,24.96644295,1062.0,84.3,639769
COPPELL ISD,Richardson,25.2,63.9,2011,539.0,1062.0,71.1,1.970315399,249.0,727,34.25034388,1213.0,87.9,752664
COPPELL ISD,Richardson,25.1,65.7,2012,623.0,1326.0,73.2,2.128410915,208.0,778,26.73521851,1226.0,83.7,690284
COPPELL ISD,Richardson,25.2,63.5,2013,715.0,1686.0,69.4,2.3580419580000003,252.0,781,32.26632522,1209.0,88.7,664460
COPPELL ISD,Richardson,25.2,61.9,2014,675.0,1737.0,64.5,2.5733333330000003,297.0,827,35.91293833,1224.0,86.7,676785
COPPELL ISD,Richardson,23.6,98.5,2015,771.0,2037.0,78.0,2.6420233459999998,299.0,853,35.05275498,1221.0,74.7,705142
COPPELL ISD,Richardson,24.4,96.9,2016,720.0,1987.0,82.0,2.7597222219999997,262.0,896,29.24107143,1226.0,74.4,733972
