DistName,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),Year
HARTS BLUFF ISD,,41.0,,2011
HAWKINS ISD,,44.0,,2011
HAWLEY ISD,8.0,47.0,17.02127659574468,2011
HEARNE ISD,10.0,74.0,13.513513513513514,2011
HEDLEY ISD,,15.0,,2011
HEMPHILL ISD,22.0,77.0,28.57142857142857,2011
HEMPSTEAD ISD,12.0,95.0,12.631578947368421,2011
HENDERSON ISD,36.0,226.0,15.929203539823009,2011
HENRIETTA ISD,16.0,54.0,29.629629629629626,2011
HEREFORD ISD,53.0,246.0,21.544715447154474,2011
HERMLEIGH ISD,,15.0,,2011
HICO ISD,16.0,56.0,28.57142857142857,2011
HIDALGO ISD,60.0,228.0,26.31578947368421,2011
HIGGINS ISD,,8.0,,2011
HIGH ISLAND ISD,,21.0,,2011
HIGHLAND ISD,,12.0,,2011
HIGHLAND PARK ISD,151.0,508.0,29.7244094488189,2011
HIGHLAND PARK ISD,8.0,48.0,16.666666666666664,2011
HILLSBORO ISD,11.0,106.0,10.377358490566039,2011
HITCHCOCK ISD,8.0,51.0,15.686274509803921,2011
HOLLAND ISD,5.0,31.0,16.129032258064516,2011
HOLLIDAY ISD,23.0,62.0,37.096774193548384,2011
HONDO ISD,31.0,125.0,24.8,2011
HONEY GROVE ISD,14.0,48.0,29.166666666666668,2011
HOOKS ISD,6.0,81.0,7.4074074074074066,2011
HOUSTON ISD,2128.0,9955.0,21.376192867905573,2011
HOWE ISD,8.0,65.0,12.307692307692308,2011
HUBBARD ISD,,37.0,,2011
HUCKABAY ISD,,14.0,,2011
HUDSON ISD,29.0,185.0,15.675675675675677,2011
HUFFMAN ISD,35.0,202.0,17.326732673267326,2011
HUGHES SPRINGS ISD,5.0,66.0,7.575757575757576,2011
HULL-DAISETTA ISD,5.0,38.0,13.157894736842104,2011
HUMBLE ISD,580.0,2452.0,23.65415986949429,2011
HUNTINGTON ISD,7.0,118.0,5.932203389830509,2011
HUNTSVILLE ISD,103.0,368.0,27.98913043478261,2011
HURST-EULESS-BEDFORD ISD,274.0,1457.0,18.80576527110501,2011
HUTTO ISD,57.0,275.0,20.727272727272727,2011
IDALOU ISD,24.0,66.0,36.36363636363637,2011
INDUSTRIAL ISD,13.0,81.0,16.049382716049383,2011
INGLESIDE ISD,29.0,121.0,23.96694214876033,2011
INGRAM ISD,13.0,82.0,15.853658536585366,2011
IOLA ISD,,25.0,,2011
IRA ISD,,25.0,,2011
IRAAN-SHEFFIELD ISD,5.0,76.0,6.578947368421052,2011
IREDELL ISD,,10.0,,2011
IRION COUNTY ISD,,31.0,,2011
IRVING ISD,286.0,1949.0,14.674191893278604,2011
ITALY ISD,6.0,41.0,14.634146341463413,2011
ITASCA ISD,7.0,38.0,18.421052631578945,2011
JACKSBORO ISD,10.0,63.0,15.873015873015872,2011
JACKSONVILLE ISD,24.0,235.0,10.212765957446807,2011
JARRELL ISD,10.0,55.0,18.181818181818183,2011
JASPER ISD,37.0,196.0,18.877551020408163,2011
JAYTON-GIRARD ISD,,10.0,,2011
JEFFERSON ISD,11.0,93.0,11.827956989247312,2011
JIM HOGG COUNTY ISD,24.0,78.0,30.76923076923077,2011
JOAQUIN ISD,5.0,47.0,10.638297872340425,2011
JOHNSON CITY ISD,11.0,41.0,26.82926829268293,2011
JONESBORO ISD,,11.0,,2011
JOSHUA ISD,52.0,288.0,18.055555555555554,2011
JOURDANTON ISD,10.0,71.0,14.084507042253522,2011
JUDSON ISD,188.0,1256.0,14.968152866242038,2011
JUNCTION ISD,15.0,59.0,25.423728813559322,2011
KARNACK ISD,,7.0,,2011
KARNES CITY ISD,17.0,68.0,25.0,2011
KATY ISD,993.0,4078.0,24.350171652770968,2011
KAUFMAN ISD,33.0,216.0,15.277777777777779,2011
KEENE ISD,,40.0,,2011
KELLER ISD,470.0,2004.0,23.45309381237525,2011
KEMP ISD,8.0,106.0,7.547169811320755,2011
KENEDY ISD,8.0,51.0,15.686274509803921,2011
KENNARD ISD,,20.0,,2011
KENNEDALE ISD,42.0,208.0,20.192307692307693,2011
KERENS ISD,6.0,46.0,13.043478260869565,2011
KERMIT ISD,11.0,74.0,14.864864864864865,2011
KERRVILLE ISD,72.0,332.0,21.686746987951807,2011
KILGORE ISD,14.0,214.0,6.5420560747663545,2011
KILLEEN ISD,376.0,2013.0,18.67858917039245,2011
KINGSVILLE ISD,63.0,198.0,31.818181818181817,2011
KLEIN ISD,743.0,3065.0,24.241435562805872,2011
KLONDIKE ISD,,13.0,,2011
KNIPPA ISD,,12.0,,2011
KOPPERL ISD,,20.0,,2011
KOUNTZE ISD,26.0,77.0,33.76623376623377,2011
KRESS ISD,,18.0,,2011
KRUM ISD,13.0,99.0,13.131313131313133,2011
LA FERIA ISD,33.0,215.0,15.348837209302326,2011
LA GRANGE ISD,30.0,146.0,20.54794520547945,2011
LA JOYA ISD,288.0,1440.0,20.0,2011
LA MARQUE ISD,39.0,173.0,22.54335260115607,2011
LA PORTE ISD,60.0,525.0,11.428571428571429,2011
LA PRYOR ISD,5.0,48.0,10.416666666666668,2011
LA VEGA ISD,9.0,139.0,6.474820143884892,2011
LA VERNIA ISD,44.0,210.0,20.952380952380953,2011
LA VILLA ISD,10.0,54.0,18.51851851851852,2011
LACKLAND ISD,5.0,31.0,16.129032258064516,2011
LAGO VISTA ISD,21.0,92.0,22.82608695652174,2011
LAKE DALLAS ISD,47.0,251.0,18.725099601593627,2011
LAKE TRAVIS ISD,153.0,424.0,36.08490566037736,2011
LAKE WORTH ISD,12.0,135.0,8.88888888888889,2011
LAMESA ISD,10.0,93.0,10.75268817204301,2011
LAMPASAS ISD,51.0,232.0,21.982758620689655,2011
LANCASTER ISD,82.0,329.0,24.924012158054712,2011
LANEVILLE ISD,,6.0,,2011
LAPOYNOR ISD,,48.0,,2011
LAREDO ISD,226.0,1102.0,20.508166969147005,2011
LASARA ISD,8.0,25.0,32.0,2011
LATEXO ISD,,28.0,,2011
LAZBUDDIE ISD,,11.0,,2011
LEAKEY ISD,5.0,32.0,15.625,2011
LEANDER ISD,456.0,1723.0,26.465467208357516,2011
LEFORS ISD,,15.0,,2011
LEGGETT ISD,,16.0,,2011
LEON ISD,5.0,57.0,8.771929824561402,2011
LEONARD ISD,6.0,83.0,7.228915662650602,2011
LEVELLAND ISD,8.0,181.0,4.41988950276243,2011
LEVERETTS CHAPEL ISD,,12.0,,2011
LEWISVILLE ISD,756.0,3487.0,21.680527674218524,2011
LEXINGTON ISD,13.0,59.0,22.033898305084744,2011
LIBERTY HILL ISD,42.0,179.0,23.463687150837988,2011
LIBERTY ISD,20.0,121.0,16.528925619834713,2011
LIBERTY-EYLAU ISD,23.0,176.0,13.068181818181818,2011
LINDALE ISD,33.0,257.0,12.840466926070038,2011
LINDSAY ISD,16.0,43.0,37.2093023255814,2011
LINGLEVILLE ISD,,15.0,,2011
LIPAN ISD,,15.0,,2011
LITTLE ELM ISD,60.0,301.0,19.93355481727575,2011
LITTLEFIELD ISD,9.0,93.0,9.67741935483871,2011
LIVINGSTON ISD,50.0,249.0,20.080321285140563,2011
LLANO ISD,28.0,108.0,25.925925925925924,2011
LOCKHART ISD,61.0,320.0,19.0625,2011
