DistName,RegnName,Wealth/ADA,Year
CYPRESS-FAIRBANKS ISD,Houston,348189,2011
CYPRESS-FAIRBANKS ISD,Houston,333118,2012
CYPRESS-FAIRBANKS ISD,Houston,331245,2013
CYPRESS-FAIRBANKS ISD,Houston,338826,2014
CYPRESS-FAIRBANKS ISD,Houston,361435,2015
CYPRESS-FAIRBANKS ISD,Houston,390500,2016
CYPRESS-FAIRBANKS ISD,Houston,439280,2017
DALLAS ISD,Richardson,546939,2011
DALLAS ISD,Richardson,513227,2012
DALLAS ISD,Richardson,503354,2013
DALLAS ISD,Richardson,511155,2014
DALLAS ISD,Richardson,533092,2015
DALLAS ISD,Richardson,568872,2016
DALLAS ISD,Richardson,628461,2017
DANBURY ISD,Houston,240831,2011
DANBURY ISD,Houston,265165,2012
DANBURY ISD,Houston,279307,2014
DANBURY ISD,Houston,282168,2015
DANBURY ISD,Houston,288696,2016
DANBURY ISD,Houston,309003,2017
DAYTON ISD,Houston,289938,2011
DAYTON ISD,Houston,287850,2012
DAYTON ISD,Houston,306917,2013
DAYTON ISD,Houston,307752,2014
DAYTON ISD,Houston,298671,2015
DAYTON ISD,Houston,301054,2016
DAYTON ISD,Houston,325055,2017
DECATUR ISD,Fort Worth,770679,2011
DECATUR ISD,Fort Worth,805956,2012
DECATUR ISD,Fort Worth,774948,2013
DECATUR ISD,Fort Worth,811515,2014
DECATUR ISD,Fort Worth,791631,2015
DECATUR ISD,Fort Worth,775684,2016
DECATUR ISD,Fort Worth,748713,2017
DEER PARK ISD,Houston,615668,2011
DEER PARK ISD,Houston,566381,2012
DEER PARK ISD,Houston,587969,2013
DEER PARK ISD,Houston,557202,2014
DEER PARK ISD,Houston,591623,2015
DEER PARK ISD,Houston,618557,2016
DEER PARK ISD,Houston,627933,2017
DEL VALLE ISD,Austin,324622,2011
DEL VALLE ISD,Austin,286558,2012
DEL VALLE ISD,Austin,280218,2013
DEL VALLE ISD,Austin,281184,2014
DEL VALLE ISD,Austin,310976,2015
DEL VALLE ISD,Austin,343664,2016
DEL VALLE ISD,Austin,399519,2017
DENISON ISD,Richardson,290422,2011
DENISON ISD,Richardson,320449,2012
DENISON ISD,Richardson,317733,2013
DENISON ISD,Richardson,320630,2014
DENISON ISD,Richardson,316385,2015
DENISON ISD,Richardson,304464,2016
DENISON ISD,Richardson,332858,2017
DENTON ISD,Fort Worth,419495,2011
DENTON ISD,Fort Worth,399725,2012
DENTON ISD,Fort Worth,398843,2013
DENTON ISD,Fort Worth,405428,2014
DENTON ISD,Fort Worth,418638,2015
DENTON ISD,Fort Worth,446278,2016
DENTON ISD,Fort Worth,473130,2017
DESOTO ISD,Richardson,253800,2011
DESOTO ISD,Richardson,247712,2012
DESOTO ISD,Richardson,245050,2013
DESOTO ISD,Richardson,229265,2014
DESOTO ISD,Richardson,227379,2015
DESOTO ISD,Richardson,224633,2016
DESOTO ISD,Richardson,244138,2017
DEVINE ISD,San Antonio,163701,2011
DEVINE ISD,San Antonio,169795,2012
DEVINE ISD,San Antonio,169535,2013
DEVINE ISD,San Antonio,179426,2014
DEVINE ISD,San Antonio,188029,2015
DEVINE ISD,San Antonio,193542,2016
DEVINE ISD,San Antonio,217879,2017
DICKINSON ISD,Houston,279136,2011
DICKINSON ISD,Houston,271853,2012
DICKINSON ISD,Houston,267707,2013
DICKINSON ISD,Houston,268982,2014
DICKINSON ISD,Houston,281883,2015
DICKINSON ISD,Houston,278014,2016
DICKINSON ISD,Houston,302411,2017
DILLEY ISD,San Antonio,151780,2011
DILLEY ISD,San Antonio,297198,2014
DILLEY ISD,San Antonio,505428,2015
DILLEY ISD,San Antonio,1680014,2016
DILLEY ISD,San Antonio,1299883,2017
DIME BOX ISD,Austin,898739,2011
DIME BOX ISD,Austin,1039951,2012
DIME BOX ISD,Austin,1141127,2013
DIME BOX ISD,Austin,1129205,2014
DIME BOX ISD,Austin,993714,2015
DIME BOX ISD,Austin,1032716,2016
DODD CITY ISD,Richardson,113275,2017
DRIPPING SPRINGS ISD,Austin,597087,2011
DRIPPING SPRINGS ISD,Austin,576515,2012
DRIPPING SPRINGS ISD,Austin,573734,2013
DRIPPING SPRINGS ISD,Austin,549429,2014
DRIPPING SPRINGS ISD,Austin,540008,2015
DRIPPING SPRINGS ISD,Austin,572585,2016
DRIPPING SPRINGS ISD,Austin,616239,2017
DUBLIN ISD,Fort Worth,223002,2011
DUBLIN ISD,Fort Worth,218658,2012
DUBLIN ISD,Fort Worth,235074,2013
DUBLIN ISD,Fort Worth,236815,2014
DUBLIN ISD,Fort Worth,239861,2015
DUBLIN ISD,Fort Worth,243158,2016
DUBLIN ISD,Fort Worth,257251,2017
DUNCANVILLE ISD,Richardson,271364,2011
DUNCANVILLE ISD,Richardson,258673,2012
DUNCANVILLE ISD,Richardson,254311,2013
DUNCANVILLE ISD,Richardson,262570,2014
DUNCANVILLE ISD,Richardson,271899,2015
DUNCANVILLE ISD,Richardson,276224,2016
DUNCANVILLE ISD,Richardson,294069,2017
EAGLE MT-SAGINAW ISD,Fort Worth,408471,2011
EAGLE MT-SAGINAW ISD,Fort Worth,371491,2012
EAGLE MT-SAGINAW ISD,Fort Worth,360252,2013
EAGLE MT-SAGINAW ISD,Fort Worth,348061,2014
EAGLE MT-SAGINAW ISD,Fort Worth,357494,2015
EAGLE MT-SAGINAW ISD,Fort Worth,364945,2016
EAGLE MT-SAGINAW ISD,Fort Worth,368660,2017
EAGLE PASS ISD,San Antonio,120275,2011
EAGLE PASS ISD,San Antonio,122595,2012
EAGLE PASS ISD,San Antonio,122048,2013
EAGLE PASS ISD,San Antonio,130623,2014
EAGLE PASS ISD,San Antonio,143020,2015
EAGLE PASS ISD,San Antonio,147975,2016
EAGLE PASS ISD,San Antonio,156582,2017
EANES ISD,Austin,1293693,2011
EANES ISD,Austin,1214826,2012
EANES ISD,Austin,1227376,2013
EANES ISD,Austin,1257940,2014
EANES ISD,Austin,1332102,2015
EANES ISD,Austin,1421278,2016
EANES ISD,Austin,1573376,2017
EAST CENTRAL ISD,San Antonio,207495,2011
EAST CENTRAL ISD,San Antonio,211273,2012
EAST CENTRAL ISD,San Antonio,215008,2013
EAST CENTRAL ISD,San Antonio,228991,2014
EAST CENTRAL ISD,San Antonio,264341,2015
EAST CENTRAL ISD,San Antonio,269416,2016
EAST CENTRAL ISD,San Antonio,320400,2017
EAST CHAMBERS ISD,Houston,190030,2011
EAST CHAMBERS ISD,Houston,199778,2012
ECTOR ISD,Richardson,131114,2011
ECTOR ISD,Richardson,144285,2012
ECTOR ISD,Richardson,134556,2013
ECTOR ISD,Richardson,139246,2014
ECTOR ISD,Richardson,148403,2015
ECTOR ISD,Richardson,151952,2016
ECTOR ISD,Richardson,160252,2017
EDGEWOOD ISD,San Antonio,83223,2011
EDGEWOOD ISD,San Antonio,83316,2012
EDGEWOOD ISD,San Antonio,83962,2013
EDGEWOOD ISD,San Antonio,86952,2014
EDGEWOOD ISD,San Antonio,85637,2015
EDGEWOOD ISD,San Antonio,91808,2016
EDGEWOOD ISD,San Antonio,112973,2017
ELGIN ISD,Austin,238009,2011
ELGIN ISD,Austin,231076,2012
ELGIN ISD,Austin,225322,2013
ELGIN ISD,Austin,222659,2014
ELGIN ISD,Austin,221289,2015
ELGIN ISD,Austin,221214,2016
ELGIN ISD,Austin,239959,2017
ENNIS ISD,Richardson,313461,2011
ENNIS ISD,Richardson,312229,2012
ENNIS ISD,Richardson,321287,2013
ENNIS ISD,Richardson,322444,2014
ENNIS ISD,Richardson,327469,2015
ENNIS ISD,Richardson,316447,2016
ENNIS ISD,Richardson,333339,2017
ERA ISD,Fort Worth,292038,2011
ERA ISD,Fort Worth,254776,2012
ERA ISD,Fort Worth,414731,2014
ERA ISD,Fort Worth,401867,2015
ERA ISD,Fort Worth,442581,2016
ERA ISD,Fort Worth,415909,2017
EVERMAN ISD,Fort Worth,239027,2011
EVERMAN ISD,Fort Worth,217662,2012
EVERMAN ISD,Fort Worth,213330,2013
EVERMAN ISD,Fort Worth,213709,2014
EVERMAN ISD,Fort Worth,212476,2015
EVERMAN ISD,Fort Worth,200362,2016
EVERMAN ISD,Fort Worth,192231,2017
FALLS CITY ISD,San Antonio,382217,2013
FALLS CITY ISD,San Antonio,826178,2014
FALLS CITY ISD,San Antonio,2106037,2015
FALLS CITY ISD,San Antonio,2960354,2016
FALLS CITY ISD,San Antonio,2298734,2017
