DistName,RegnName,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Year
Irving ISD,Richardson,1059.0,2129.0,27.4,2.0103871576959396,2013
Carrollton-Farmers Branch ISD,Richardson,1026.0,2162.0,47.9,2.107212475633528,2013
Mesquite ISD,Richardson,822.0,1601.0,39.7,1.9476885644768855,2013
Richardson ISD,Richardson,1607.0,3824.0,61.6,2.3795892968263845,2013
Coppell ISD,Richardson,715.0,1686.0,69.4,2.3580419580419583,2013
Denton ISD,Fort Worth,607.0,1272.0,48.0,2.095551894563427,2013
Lewisville ISD,Fort Worth,2136.0,4763.0,71.4,2.2298689138576777,2013
Krum ISD,Fort Worth,39.0,56.0,46.4,1.435897435897436,2013
Lancaster ISD,Richardson,196.0,316.0,4.4,1.6122448979591837,2013
Dripping Springs ISD,Austin,208.0,466.0,78.3,2.2403846153846154,2014
Wimberley ISD,Austin,107.0,175.0,68.0,1.6355140186915889,2014
Granbury ISD,Fort Worth,188.0,378.0,43.7,2.0106382978723403,2014
Burleson ISD,Fort Worth,491.0,1083.0,39.1,2.205702647657841,2014
Cleburne ISD,Fort Worth,165.0,340.0,34.1,2.0606060606060606,2014
Crandall ISD,Richardson,81.0,124.0,27.4,1.5308641975308641,2014
