DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
044902   WELLINGTON ISD,15,38.5%,6,15.4%,18,46.2%,39,100.0%
223904   WELLMAN-UNION CISD,*,*,*,*,5,45.5%,11,100.0%
037909   WELLS ISD,*,*,*,*,12,48.0%,25,100.0%
108913   WESLACO ISD,239,21.4%,344,30.8%,533,47.8%,"1,116",100.0%
100908   WEST HARDIN COUNTY CISD,*,*,*,*,23,63.9%,36,100.0%
161916   WEST ISD,7,6.0%,68,58.6%,41,35.3%,116,100.0%
181906   WEST ORANGE-COVE CISD,13,10.2%,48,37.5%,67,52.3%,128,100.0%
178915   WEST OSO ISD,32,25.6%,27,21.6%,66,52.8%,125,100.0%
201914   WEST RUSK COUNTY CONSOLIDATED ISD,*,*,*,*,44,68.8%,64,100.0%
202905   WEST SABINE ISD,6,13.3%,14,31.1%,25,55.6%,45,100.0%
168903   WESTBROOK ISD,*,*,*,*,8,40.0%,20,100.0%
220810   WESTLAKE ACADEMY CHARTER SCHOOL,15,27.8%,12,22.2%,27,50.0%,54,100.0%
001908   WESTWOOD ISD,12,13.6%,29,33.0%,47,53.4%,88,100.0%
241904   WHARTON ISD,22,19.5%,44,38.9%,47,41.6%,113,100.0%
242903   WHEELER ISD,7,19.4%,5,13.9%,24,66.7%,36,100.0%
033904   WHITE DEER ISD,5,23.8%,10,47.6%,6,28.6%,21,100.0%
092908   WHITE OAK ISD,13,14.3%,45,49.5%,33,36.3%,91,100.0%
220920   WHITE SETTLEMENT ISD,62,15.6%,112,28.2%,223,56.2%,397,100.0%
040902   WHITEFACE CISD,*,*,*,*,10,37.0%,27,100.0%
212906   WHITEHOUSE ISD,55,17.0%,117,36.2%,151,46.8%,323,100.0%
091909   WHITESBORO ISD,13,15.3%,24,28.2%,48,56.5%,85,100.0%
091910   WHITEWRIGHT ISD,9,17.0%,22,41.5%,22,41.5%,53,100.0%
110908   WHITHARRAL ISD,*,*,*,*,5,35.7%,14,100.0%
109911   WHITNEY ISD,19,16.2%,41,35.0%,57,48.7%,117,100.0%
243905   WICHITA FALLS ISD,238,25.1%,166,17.5%,544,57.4%,948,100.0%
170904   WILLIS ISD,76,19.1%,98,24.7%,223,56.2%,397,100.0%
234907   WILLS POINT ISD,31,19.5%,36,22.6%,92,57.9%,159,100.0%
153907   WILSON ISD,,,,,*,*,*,*
105905   WIMBERLEY ISD,51,30.0%,38,22.4%,81,47.7%,170,100.0%
005904   WINDTHORST ISD,7,18.4%,12,31.6%,19,50.0%,38,100.0%
057828   WINFREE ACADEMY CHARTER SCHOOLS,9,2.8%,73,23.0%,236,74.2%,318,100.0%
248902   WINK-LOVING ISD,9,36.0%,7,28.0%,9,36.0%,25,100.0%
250907   WINNSBORO ISD,19,21.8%,34,39.1%,34,39.1%,87,100.0%
212910   WINONA ISD,5,9.3%,24,44.4%,25,46.3%,54,100.0%
200904   WINTERS ISD,15,37.5%,5,12.5%,20,50.0%,40,100.0%
174906   WODEN ISD,13,23.2%,12,21.4%,31,55.4%,56,100.0%
116909   WOLFE CITY ISD,9,32.1%,13,46.4%,6,21.4%,28,100.0%
196902   WOODSBORO ISD,11,34.4%,10,31.3%,11,34.4%,32,100.0%
224902   WOODSON ISD,,,*,*,*,*,6,100.0%
229903   WOODVILLE ISD,16,22.9%,19,27.1%,35,50.0%,70,100.0%
081905   WORTHAM ISD,,,12,60.0%,8,40.0%,20,100.0%
043914   WYLIE ISD,154,18.0%,339,39.5%,365,42.5%,858,100.0%
221912   WYLIE ISD,70,30.8%,65,28.6%,92,40.5%,227,100.0%
250905   YANTIS ISD,*,*,*,*,*,*,14,100.0%
101845   YES PREP PUBLIC SCHOOLS INC,232,46.0%,63,12.5%,209,41.5%,504,100.0%
062903   YOAKUM ISD,22,18.6%,35,29.7%,61,51.7%,118,100.0%
062904   YORKTOWN ISD,*,*,*,*,15,57.7%,26,100.0%
071905   YSLETA ISD,799,27.0%,953,32.2%,"1,206",40.8%,"2,958",100.0%
253901   ZAPATA COUNTY ISD,35,18.1%,41,21.2%,117,60.6%,193,100.0%
003906   ZAVALLA ISD,*,*,*,*,20,50.0%,40,100.0%
025906   ZEPHYR ISD,*,*,*,*,8,61.5%,13,100.0%
