DistName,RegnName,Year,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%)
CASTLEBERRY ISD,Fort Worth,2017,14,214,6.542056075
CEDAR HILL ISD,Richardson,2011,120,534,22.47191011
CEDAR HILL ISD,Richardson,2012,175,528,33.14393939
CEDAR HILL ISD,Richardson,2013,156,591,26.39593909
CEDAR HILL ISD,Richardson,2014,156,541,28.83548983
CEDAR HILL ISD,Richardson,2015,174,613,28.38499184
CEDAR HILL ISD,Richardson,2016,184,595,30.92436975
CEDAR HILL ISD,Richardson,2017,186,594,31.31313131
CELESTE ISD,Richardson,2014,9,39,23.07692308
CELESTE ISD,Richardson,2015,11,43,25.58139535
CELESTE ISD,Richardson,2016,6,36,16.66666667
CELESTE ISD,Richardson,2017,9,37,24.32432432
CELINA ISD,Richardson,2011,28,115,24.34782609
CELINA ISD,Richardson,2012,24,145,16.55172414
CELINA ISD,Richardson,2013,36,148,24.32432432
CELINA ISD,Richardson,2014,25,134,18.65671642
CELINA ISD,Richardson,2015,25,152,16.44736842
CELINA ISD,Richardson,2016,31,173,17.91907514
CELINA ISD,Richardson,2017,42,163,25.76687117
CENTER POINT ISD,San Antonio,2011,8,37,21.62162162
CENTER POINT ISD,San Antonio,2012,,40,
CENTER POINT ISD,San Antonio,2013,7,51,13.7254902
CENTER POINT ISD,San Antonio,2014,10,37,27.02702703
CENTER POINT ISD,San Antonio,2015,,43,
CENTER POINT ISD,San Antonio,2016,,43,
CENTER POINT ISD,San Antonio,2017,5,33,15.15151515
CHANNELVIEW ISD,Houston,2011,53,491,10.79429735
CHANNELVIEW ISD,Houston,2012,62,498,12.4497992
CHANNELVIEW ISD,Houston,2013,59,481,12.26611227
CHANNELVIEW ISD,Houston,2014,62,486,12.75720165
CHANNELVIEW ISD,Houston,2015,86,498,17.26907631
CHANNELVIEW ISD,Houston,2016,75,554,13.53790614
CHANNELVIEW ISD,Houston,2017,69,609,11.33004926
CHARLOTTE ISD,San Antonio,2011,6,39,15.38461538
CHARLOTTE ISD,San Antonio,2012,8,34,23.52941176
CHARLOTTE ISD,San Antonio,2013,,28,
CHARLOTTE ISD,San Antonio,2014,,27,
CHARLOTTE ISD,San Antonio,2015,5,35,14.28571429
CHARLOTTE ISD,San Antonio,2016,,26,
CHARLOTTE ISD,San Antonio,2017,8,41,19.51219512
CHICO ISD,Fort Worth,2011,,41,
CHICO ISD,Fort Worth,2012,,36,
CHICO ISD,Fort Worth,2013,,46,
CHICO ISD,Fort Worth,2014,8,42,19.04761905
CHICO ISD,Fort Worth,2015,5,39,12.82051282
CHICO ISD,Fort Worth,2016,8,52,15.38461538
CHICO ISD,Fort Worth,2017,5,50,10
CLEAR CREEK ISD,Houston,2011,800,2671,29.95132909
CLEAR CREEK ISD,Houston,2012,737,2700,27.2962963
CLEAR CREEK ISD,Houston,2013,746,2797,26.67143368
CLEAR CREEK ISD,Houston,2014,875,2748,31.84133916
CLEAR CREEK ISD,Houston,2015,887,2981,29.75511573
CLEAR CREEK ISD,Houston,2016,823,2914,28.242965
CLEAR CREEK ISD,Houston,2017,947,3018,31.37839629
CLEBURNE ISD,Fort Worth,2011,55,389,14.13881748
CLEBURNE ISD,Fort Worth,2012,76,418,18.18181818
CLEBURNE ISD,Fort Worth,2013,62,405,15.30864198
CLEBURNE ISD,Fort Worth,2014,71,394,18.02030457
CLEBURNE ISD,Fort Worth,2015,52,361,14.40443213
CLEBURNE ISD,Fort Worth,2016,63,437,14.41647597
CLEBURNE ISD,Fort Worth,2017,47,396,11.86868687
CLEVELAND ISD,Houston,2011,20,160,12.5
CLEVELAND ISD,Houston,2012,26,206,12.62135922
CLEVELAND ISD,Houston,2013,16,157,10.1910828
CLEVELAND ISD,Houston,2014,21,163,12.88343558
CLEVELAND ISD,Houston,2015,20,206,9.708737864
CLEVELAND ISD,Houston,2016,23,196,11.73469388
CLEVELAND ISD,Houston,2017,25,224,11.16071429
COLLINSVILLE ISD,Richardson,2012,11,44,25
COLLINSVILLE ISD,Richardson,2014,7,26,26.92307692
COLLINSVILLE ISD,Richardson,2017,9,41,21.95121951
COLUMBIA-BRAZORIA ISD,Houston,2011,26,195,13.33333333
COLUMBIA-BRAZORIA ISD,Houston,2012,21,185,11.35135135
COLUMBIA-BRAZORIA ISD,Houston,2013,35,207,16.90821256
COLUMBIA-BRAZORIA ISD,Houston,2014,17,180,9.444444444
COLUMBIA-BRAZORIA ISD,Houston,2015,28,175,16
COLUMBIA-BRAZORIA ISD,Houston,2016,29,187,15.50802139
COLUMBIA-BRAZORIA ISD,Houston,2017,30,179,16.75977654
COMAL ISD,Austin,2011,336,1159,28.99050906
COMAL ISD,Austin,2012,295,1116,26.43369176
COMAL ISD,Austin,2013,323,1232,26.21753247
COMAL ISD,Austin,2014,379,1263,30.00791766
COMAL ISD,Austin,2015,369,1380,26.73913043
COMAL ISD,Austin,2016,369,1406,26.24466572
COMAL ISD,San Antonio,2017,372,1490,24.96644295
COMFORT ISD,Austin,2011,21,90,23.33333333
COMFORT ISD,Austin,2012,19,63,30.15873016
COMFORT ISD,Austin,2013,24,77,31.16883117
COMFORT ISD,Austin,2014,26,79,32.91139241
COMFORT ISD,Austin,2015,27,101,26.73267327
COMFORT ISD,Austin,2016,13,64,20.3125
COMFORT ISD,Austin,2017,14,82,17.07317073
COMMERCE ISD,Richardson,2011,34,112,30.35714286
COMMERCE ISD,Richardson,2012,30,97,30.92783505
COMMERCE ISD,Richardson,2013,34,116,29.31034483
COMMERCE ISD,Richardson,2014,39,98,39.79591837
COMMERCE ISD,Richardson,2015,32,86,37.20930233
COMMERCE ISD,Richardson,2016,35,118,29.66101695
COMMERCE ISD,Richardson,2017,28,119,23.52941176
COMMUNITY ISD,Richardson,2011,13,98,13.26530612
COMMUNITY ISD,Richardson,2012,13,88,14.77272727
COMMUNITY ISD,Richardson,2013,19,125,15.2
COMMUNITY ISD,Richardson,2014,14,103,13.59223301
COMMUNITY ISD,Richardson,2015,16,103,15.53398058
COMMUNITY ISD,Richardson,2016,17,108,15.74074074
COMMUNITY ISD,Richardson,2017,28,142,19.71830986
COPPELL ISD,Richardson,2011,249,727,34.25034388
COPPELL ISD,Richardson,2012,208,778,26.73521851
COPPELL ISD,Richardson,2013,252,781,32.26632522
COPPELL ISD,Richardson,2014,297,827,35.91293833
COPPELL ISD,Richardson,2015,299,853,35.05275498
COPPELL ISD,Richardson,2016,262,896,29.24107143
COPPELL ISD,Richardson,2017,312,895,34.8603352
COTULLA ISD,San Antonio,2011,12,68,17.64705882
COTULLA ISD,San Antonio,2012,15,72,20.83333333
COTULLA ISD,San Antonio,2013,7,62,11.29032258
COTULLA ISD,San Antonio,2014,,52,
COTULLA ISD,San Antonio,2015,16,79,20.25316456
COTULLA ISD,San Antonio,2016,18,83,21.68674699
COTULLA ISD,San Antonio,2017,17,86,19.76744186
CRANDALL ISD,Richardson,2011,39,176,22.15909091
CRANDALL ISD,Richardson,2012,35,191,18.32460733
CRANDALL ISD,Richardson,2013,36,190,18.94736842
CRANDALL ISD,Richardson,2014,38,226,16.81415929
CRANDALL ISD,Richardson,2015,42,216,19.44444444
CRANDALL ISD,Richardson,2016,41,227,18.06167401
CRANDALL ISD,Richardson,2017,42,230,18.26086957
CROSBY ISD,Houston,2011,54,321,16.82242991
CROSBY ISD,Houston,2012,45,315,14.28571429
CROSBY ISD,Houston,2013,50,335,14.92537313
CROSBY ISD,Houston,2014,46,307,14.98371336
CROSBY ISD,Houston,2015,53,321,16.51090343
CROSBY ISD,Houston,2016,61,399,15.28822055
CROSBY ISD,Houston,2017,69,356,19.38202247
CROWLEY ISD,Fort Worth,2011,181,905,20
CROWLEY ISD,Fort Worth,2012,190,910,20.87912088
CROWLEY ISD,Fort Worth,2013,195,994,19.61770624
CROWLEY ISD,Fort Worth,2014,198,885,22.37288136
CROWLEY ISD,Fort Worth,2015,170,1003,16.94915254
CROWLEY ISD,Fort Worth,2016,207,1020,20.29411765
CROWLEY ISD,Fort Worth,2017,156,1027,15.18987342
CRYSTAL CITY ISD,San Antonio,2011,8,114,7.01754386
CRYSTAL CITY ISD,San Antonio,2012,15,118,12.71186441
CRYSTAL CITY ISD,San Antonio,2013,10,113,8.849557522
CRYSTAL CITY ISD,San Antonio,2014,20,109,18.34862385
CRYSTAL CITY ISD,San Antonio,2015,8,90,8.888888889
CRYSTAL CITY ISD,San Antonio,2016,7,126,5.555555556
CRYSTAL CITY ISD,San Antonio,2017,14,125,11.2
CYPRESS-FAIRBANKS ISD,Houston,2011,1481,6310,23.47068146
CYPRESS-FAIRBANKS ISD,Houston,2012,1397,6419,21.76351457
CYPRESS-FAIRBANKS ISD,Houston,2013,1515,6982,21.69865368
CYPRESS-FAIRBANKS ISD,Houston,2014,1696,7161,23.68384304
CYPRESS-FAIRBANKS ISD,Houston,2015,1637,7479,21.88795293
CYPRESS-FAIRBANKS ISD,Houston,2016,1776,7804,22.75756023
CYPRESS-FAIRBANKS ISD,Houston,2017,1727,8072,21.39494549
DALLAS ISD,Richardson,2011,1118,7267,15.38461538
DALLAS ISD,Richardson,2012,1247,7275,17.14089347
DALLAS ISD,Richardson,2013,1214,7706,15.75395795
DALLAS ISD,Richardson,2014,1222,7410,16.49122807
DALLAS ISD,Richardson,2015,1253,7505,16.69553631
DALLAS ISD,Richardson,2016,1264,7774,16.25932596
DALLAS ISD,Richardson,2017,1446,7685,18.81587508
DANBURY ISD,Houston,2011,7,60,11.66666667
DANBURY ISD,Houston,2012,8,41,19.51219512
DANBURY ISD,Houston,2014,11,66,16.66666667
DANBURY ISD,Houston,2015,10,55,18.18181818
DANBURY ISD,Houston,2016,8,46,17.39130435
DANBURY ISD,Houston,2017,11,59,18.6440678
DAYTON ISD,Houston,2011,38,300,12.66666667
DAYTON ISD,Houston,2012,38,348,10.91954023
DAYTON ISD,Houston,2013,36,336,10.71428571
DAYTON ISD,Houston,2014,37,314,11.78343949
DAYTON ISD,Houston,2015,40,319,12.53918495
DAYTON ISD,Houston,2016,40,304,13.15789474
DAYTON ISD,Houston,2017,47,364,12.91208791
DECATUR ISD,Fort Worth,2011,50,209,23.92344498
DECATUR ISD,Fort Worth,2012,33,205,16.09756098
DECATUR ISD,Fort Worth,2013,33,186,17.74193548
DECATUR ISD,Fort Worth,2014,32,203,15.7635468
DECATUR ISD,Fort Worth,2015,39,200,19.5
DECATUR ISD,Fort Worth,2016,47,188,25
DECATUR ISD,Fort Worth,2017,52,200,26
DEER PARK ISD,Houston,2011,136,864,15.74074074
DEER PARK ISD,Houston,2012,118,855,13.80116959
DEER PARK ISD,Houston,2013,129,855,15.0877193
DEER PARK ISD,Houston,2014,120,928,12.93103448
DEER PARK ISD,Houston,2015,111,904,12.27876106
DEER PARK ISD,Houston,2016,147,991,14.83350151
DEER PARK ISD,Houston,2017,145,927,15.64185545
DEL VALLE ISD,Austin,2011,81,612,13.23529412
DEL VALLE ISD,Austin,2012,89,616,14.44805195
DEL VALLE ISD,Austin,2013,74,611,12.11129296
DEL VALLE ISD,Austin,2014,66,586,11.26279863
DEL VALLE ISD,Austin,2015,89,627,14.19457735
DEL VALLE ISD,Austin,2016,73,691,10.56439942
DEL VALLE ISD,Austin,2017,89,632,14.08227848
