DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
184903   WEATHERFORD ISD,84,16.3%,170,33.1%,260,50.6%,514,100.0%
240904   WEBB CISD,7,24.1%,10,34.5%,12,41.4%,29,100.0%
045905   WEIMAR ISD,8,20.0%,12,30.0%,20,50.0%,40,100.0%
044902   WELLINGTON ISD,15,34.1%,6,13.6%,23,52.3%,44,100.0%
223904   WELLMAN-UNION CISD,*,*,*,*,7,46.7%,15,100.0%
037909   WELLS ISD,*,*,*,*,7,38.9%,18,100.0%
108913   WESLACO ISD,222,19.1%,366,31.4%,577,49.5%,"1,165",100.0%
100908   WEST HARDIN COUNTY CISD,8,22.9%,8,22.9%,19,54.3%,35,100.0%
161916   WEST ISD,8,8.3%,64,66.0%,25,25.8%,97,100.0%
181906   WEST ORANGE-COVE CISD,18,14.8%,46,37.7%,58,47.5%,122,100.0%
178915   WEST OSO ISD,16,17.6%,32,35.2%,43,47.3%,91,100.0%
201914   WEST RUSK COUNTY CONSOLIDATED ISD,5,7.7%,26,40.0%,34,52.3%,65,100.0%
202905   WEST SABINE ISD,7,13.5%,15,28.9%,30,57.7%,52,100.0%
168903   WESTBROOK ISD,*,*,*,*,7,50.0%,14,100.0%
220810   WESTLAKE ACADEMY CHARTER SCHOOL,13,21.3%,10,16.4%,38,62.3%,61,100.0%
001908   WESTWOOD ISD,13,12.6%,33,32.0%,57,55.3%,103,100.0%
241904   WHARTON ISD,8,5.8%,55,40.2%,74,54.0%,137,100.0%
242903   WHEELER ISD,*,*,*,*,15,57.7%,26,100.0%
033904   WHITE DEER ISD,6,26.1%,8,34.8%,9,39.1%,23,100.0%
092908   WHITE OAK ISD,24,21.1%,42,36.8%,48,42.1%,114,100.0%
220920   WHITE SETTLEMENT ISD,65,15.5%,119,28.3%,236,56.2%,420,100.0%
040902   WHITEFACE CISD,*,*,*,*,*,*,17,100.0%
212906   WHITEHOUSE ISD,65,19.0%,124,36.2%,154,44.9%,343,100.0%
091909   WHITESBORO ISD,18,16.5%,29,26.6%,62,56.9%,109,100.0%
091910   WHITEWRIGHT ISD,10,15.6%,24,37.5%,30,46.9%,64,100.0%
110908   WHITHARRAL ISD,*,*,*,*,*,*,12,100.0%
109911   WHITNEY ISD,10,9.9%,47,46.5%,44,43.6%,101,100.0%
243905   WICHITA FALLS ISD,211,23.3%,169,18.6%,527,58.1%,907,100.0%
170904   WILLIS ISD,93,22.6%,96,23.4%,222,54.0%,411,100.0%
234907   WILLS POINT ISD,25,15.9%,43,27.4%,89,56.7%,157,100.0%
153907   WILSON ISD,,,*,*,5,83.3%,6,100.0%
105905   WIMBERLEY ISD,38,27.0%,31,22.0%,72,51.1%,141,100.0%
005904   WINDTHORST ISD,15,32.6%,15,32.6%,16,34.8%,46,100.0%
057828   WINFREE ACADEMY CHARTER SCHOOLS,13,4.2%,55,17.6%,244,78.2%,312,100.0%
248902   WINK-LOVING ISD,*,*,*,*,14,58.3%,24,100.0%
250907   WINNSBORO ISD,12,13.3%,27,30.0%,51,56.7%,90,100.0%
212910   WINONA ISD,*,*,*,*,39,68.4%,57,100.0%
200904   WINTERS ISD,9,29.0%,7,22.6%,15,48.4%,31,100.0%
174906   WODEN ISD,16,29.1%,19,34.6%,20,36.4%,55,100.0%
116909   WOLFE CITY ISD,10,23.8%,8,19.1%,24,57.1%,42,100.0%
196902   WOODSBORO ISD,,,16,50.0%,16,50.0%,32,100.0%
224902   WOODSON ISD,*,*,*,*,*,*,9,100.0%
229903   WOODVILLE ISD,16,17.0%,29,30.9%,49,52.1%,94,100.0%
081905   WORTHAM ISD,*,*,*,*,13,41.9%,31,100.0%
043914   WYLIE ISD,199,21.0%,311,32.8%,439,46.3%,949,100.0%
221912   WYLIE ISD,60,25.5%,64,27.2%,111,47.2%,235,100.0%
250905   YANTIS ISD,*,*,*,*,18,81.8%,22,100.0%
101845   YES PREP PUBLIC SCHOOLS INC,306,43.1%,125,17.6%,279,39.3%,710,100.0%
062903   YOAKUM ISD,10,11.1%,36,40.0%,44,48.9%,90,100.0%
062904   YORKTOWN ISD,8,25.8%,10,32.3%,13,41.9%,31,100.0%
071905   YSLETA ISD,722,25.1%,"1,012",35.1%,"1,148",39.8%,"2,882",100.0%
253901   ZAPATA COUNTY ISD,57,25.3%,47,20.9%,121,53.8%,225,100.0%
003906   ZAVALLA ISD,*,*,*,*,19,59.4%,32,100.0%
025906   ZEPHYR ISD,*,*,*,*,10,52.6%,19,100.0%
