Group,District,DistName,County,CntyName,Region,RegnName,Math,Reading,Writing,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,049901,Gainesville ISD,049,Cooke County,11,Fort Worth,469,457,446,926,171,48,28.1,5,10.4
All Students,049902,Muenster ISD,049,Cooke County,11,Fort Worth,571,519,493,1087,35,15,42.9,7,46.7
All Students,049903,Valley View ISD,049,Cooke County,11,Fort Worth,487,498,457,984,<75,<50,49.1,<25,23.1
All Students,049905,Callisburg ISD,049,Cooke County,11,Fort Worth,530,540,487,1053,<100,<25,3.9,<25,66.7
All Students,049906,Era ISD,049,Cooke County,11,Fort Worth,550,573,547,1123,<50,<25,8.1,<25,33.3
All Students,049907,Lindsay ISD,049,Cooke County,11,Fort Worth,496,486,462,982,<50,<25,48.6,<25,16.7
All Students,050902,Gatesville ISD,050,Coryell County,12,Waco,501,499,476,1001,<200,<25,7.9,<25,21.4
All Students,050904,Oglesby ISD,050,Coryell County,12,Waco,418,408,414,826,<25,<25,71.4,<25,
All Students,050909,Jonesboro ISD,050,Coryell County,12,Waco,455,480,445,933,<25,<25,46.2,<25,16.7
All Students,050910,Copperas Cove ISD,050,Coryell County,12,Waco,473,475,444,946,530,244,46.0,33,13.5
All Students,051901,Paducah ISD,051,Cottle County,17,Lubbock,,,,,<25,<25,8.3,<25,
All Students,052901,Crane ISD,052,Crane County,18,Midland,503,503,492,1013,<75,<25,8.1,<25,16.7
All Students,053001,Crockett County Consolidated CSD,053,Crockett County,15,San Angelo,493,449,443,940,<50,<25,15.2,<25,14.3
All Students,054903,Ralls ISD,054,Crosby County,17,Lubbock,443,503,437,947,<50,<25,8.3,<25,
All Students,055901,Culberson County-Allamoore ISD,055,Culberson County,18,Midland,,,,,<50,<25,2.6,<25,
All Students,056901,Dalhart ISD,056,Dallam County,16,Amarillo,500,521,470,1016,<125,<25,6.5,<25,42.9
All Students,057802,Pegasus School Of Liberal Arts And,057,Dallas County,10,Richardson,401,369,373,770,<25,<25,82.4,<25,
All Students,057803,Uplift Education,057,Dallas County,10,Richardson,509,484,479,993,465,382,82.2,103,27.0
All Students,057804,Texans Can Academies,057,Dallas County,10,Richardson,368,384,366,749,<1925,<75,3.8,<25,
All Students,057806,Advantage Academy,057,Dallas County,10,Richardson,429,455,445,888,<50,<25,34.4,<25,
All Students,057807,Life School,057,Dallas County,10,Richardson,433,446,429,878,186,132,71.0,8,6.1
All Students,057808,Universal Academy,057,Dallas County,10,Richardson,393,409,362,802,<25,<25,92.9,<25,
All Students,057817,Focus Learning Academy,057,Dallas County,10,Richardson,377,361,352,736,<50,<50,67.4,<25,
All Students,057819,Jean Massieu Academy,057,Dallas County,10,Richardson,,,,,<25,<25,16.7,<25,
All Students,057828,Winfree Academy Charter Schools,057,Dallas County,10,Richardson,463,515,467,972,<325,<25,4.8,<25,20.0
All Students,057829,A+ Academy,057,Dallas County,10,Richardson,417,382,373,798,<75,<75,93.0,<25,
All Students,057830,Inspired Vision Academy,057,Dallas County,10,Richardson,417,399,403,816,<75,<25,31.0,<25,9.1
All Students,057831,Gateway Charter Academy,057,Dallas County,10,Richardson,355,382,363,731,<50,<25,69.0,<25,
All Students,057832,Alpha Charter School,057,Dallas County,10,Richardson,370,313,267,670,<50,<25,7.1,<25,
All Students,057833,Education Center International Aca,057,Dallas County,10,Richardson,,,,,<25,<25,,<25,
All Students,057834,Evolution Academy Charter School,057,Dallas County,10,Richardson,420,432,404,848,<225,<50,12.9,<25,6.9
All Students,057840,Richland Collegiate High School,057,Dallas County,10,Richardson,534,522,507,1056,226,205,90.7,73,35.6
All Students,057848,International Leadership Of Texas,057,Dallas County,10,Richardson,441,440,419,881,<75,<50,74.1,<25,16.3
All Students,057903,Carrollton-Farmers Branch ISD,057,Dallas County,10,Richardson,498,478,461,976,1608,899,55.9,207,23.0
All Students,057904,Cedar Hill ISD,057,Dallas County,10,Richardson,454,455,436,909,595,324,54.5,41,12.7
All Students,057905,Dallas ISD,057,Dallas County,10,Richardson,407,392,380,799,7774,8140,100,528,6.5
All Students,057906,Desoto ISD,057,Dallas County,10,Richardson,412,408,386,820,657,378,57.5,22,5.8
All Students,057907,Duncanville ISD,057,Dallas County,10,Richardson,430,432,411,861,<875,<550,60.8,<50,6.0
All Students,057909,Garland ISD,057,Dallas County,10,Richardson,475,472,448,947,4116,2125,51.6,439,20.7
All Students,057910,Grand Prairie ISD,057,Dallas County,10,Richardson,421,406,383,827,1707,1527,89.5,101,6.6
All Students,057911,Highland Park ISD,057,Dallas County,10,Richardson,635,607,590,1243,482,289,60.0,222,76.8
All Students,057912,Irving ISD,057,Dallas County,10,Richardson,421,410,398,830,2143,1780,83.1,123,6.9
All Students,057913,Lancaster ISD,057,Dallas County,10,Richardson,387,394,370,780,<400,<200,49.6,<25,1.0
All Students,057914,Mesquite ISD,057,Dallas County,10,Richardson,446,437,422,882,2575,1350,52.4,137,10.1
All Students,057916,Richardson ISD,057,Dallas County,10,Richardson,531,506,482,1037,2111,1152,54.6,433,37.6
All Students,057919,Sunnyvale ISD,057,Dallas County,10,Richardson,548,527,513,1074,103,82,79.6,37,45.1
All Students,057922,Coppell ISD,057,Dallas County,10,Richardson,596,566,551,1162,896,667,74.4,394,59.1
All Students,058902,Dawson ISD,058,Dawson County,17,Lubbock,,,,,<25,<25,9.1,<25,
All Students,058905,Klondike ISD,058,Dawson County,17,Lubbock,,,,,<25,<25,7.1,<25,100
All Students,058906,Lamesa ISD,058,Dawson County,17,Lubbock,478,522,434,1000,<125,<25,4.5,<25,
All Students,058909,Sands CISD,058,Dawson County,17,Lubbock,,,,,<25,<25,6.3,<25,100
All Students,059901,Hereford ISD,059,Deaf Smith County,16,Amarillo,505,500,499,1006,<275,<25,4.9,<25,15.4
All Students,060902,Cooper ISD,060,Delta County,08,Mt Pleasant,520,443,433,963,<50,<25,6.4,<25,
All Students,061501,University Of North Texas,061,Denton County,11,Fort Worth,739,699,697,1437,<25,<175,,<175,100
All Students,061901,Denton ISD,061,Denton County,11,Fort Worth,496,497,468,993,1543,845,54.8,225,26.6
All Students,061902,Lewisville ISD,061,Denton County,11,Fort Worth,552,532,515,1083,3982,2636,66.2,1154,43.8
All Students,061903,Pilot Point ISD,061,Denton County,11,Fort Worth,514,526,496,1041,95,38,40.0,12,31.6
All Students,061905,Krum ISD,061,Denton County,11,Fort Worth,486,493,475,976,127,45,35.4,8,17.8
All Students,061906,Ponder ISD,061,Denton County,11,Fort Worth,517,492,462,1009,100,42,42.0,12,28.6
