Group,district,DistName,cntyname,RegnName,Region,Math,Reading,Writing,Total,Above_Crit_Rate,Exnees_Mskd,Crit_Mskd,Part_Rate,Grads_Mskd
All Students,61905,Krum ISD,Denton County,Fort Worth,11,481,464,446,945,18.5,54,10,48.6,111
All Students,61906,Ponder ISD,Denton County,Fort Worth,11,541,506,480,1046,36.4,33,12,35.9,92
All Students,61907,Aubrey ISD,Denton County,Fort Worth,11,522,482,462,1004,32.8,61,20,50.8,120
All Students,61908,Sanger ISD,Denton County,Fort Worth,11,508,486,461,994,24.6,69,17,42.1,164
All Students,61910,Argyle ISD,Denton County,Fort Worth,11,544,524,501,1069,35.5,107,38,71.3,150
All Students,61911,Northwest ISD,Denton County,Fort Worth,11,518,496,481,1014,29.1,619,180,64.2,964
All Students,61912,Lake Dallas ISD,Denton County,Fort Worth,11,519,502,467,1021,32.1,168,54,59.6,282
All Students,61914,Little Elm ISD,Denton County,Fort Worth,11,479,462,446,941,17.2,174,30,51,341
All Students,62901,Cuero ISD,Dewitt County,Victoria,3,506,463,461,969,21.4,28,6,27.2,103
All Students,62903,Yoakum ISD,Dewitt County,Victoria,3,533,520,505,1053,37.5,24,9,22.4,107
All Students,62904,Yorktown ISD,Dewitt County,Victoria,3,471,445,466,916,,21,<5,56.8,37
All Students,63903,Spur ISD,Dickens County,Lubbock,17,420,377,410,797,,<5,<5,,12
All Students,64903,Carrizo Springs CISD,Dimmit County,San Antonio,20,437,395,390,832,7.9,76,6,75.2,101
All Students,66901,Benavides ISD,Duval County,Corpus Christi,2,402,362,371,764,,13,<5,,<25
All Students,66902,San Diego ISD,Duval County,Corpus Christi,2,444,386,411,830,,29,<5,33.3,87
All Students,66903,Freer ISD,Duval County,Corpus Christi,2,,,,,,<5,<5,,51
All Students,67902,Cisco ISD,Eastland County,Abilene,14,480,454,462,934,,<10,<5,,67
All Students,67903,Eastland ISD,Eastland County,Abilene,14,487,451,432,939,13.6,44,6,48.4,91
All Students,67904,Gorman ISD,Eastland County,Abilene,14,,,,,,<5,<5,,16
All Students,67907,Ranger ISD,Eastland County,Abilene,14,461,426,424,888,,8,<5,44.4,18
All Students,68801,Richard Milburn Academy (Ector Cou,Ector County,Midland,18,424,419,420,843,,29,<5,12.8,226
All Students,68901,Ector County ISD,Ector County,Midland,18,489,459,444,947,16.2,470,76,37.7,1247
All Students,69902,Nueces Canyon CISD,Edwards County,San Angelo,15,487,497,523,983,,<5,<5,,29
All Students,70801,Waxahachie Faith Family Academy,Ellis County,Richardson,10,496,481,457,977,,10,<5,71.4,14
